PROGRAM ID,PROGRAM NAME,ZONE/ DEPARTMENT,QUANTITY,AREA,PREFERENCE VALUE,ADJACENT PROGRAMS
0,Family Lounge,Family Public Support,48,15,3,3..4..5..8
1,Public Toilet,Family Public Support,2,160,1,2..4..6..15
2,Conference,Family Public Support,1,225,3,3..2
3,Patient Room,Inpatient Area,26,340,10,12..11.5..6..8
4,Patient Room Isolation,Inpatient Area,2,340,8,2..3..5..7..8
5,Patient Room VIP,Inpatient Area,2,340,9,1..3..2..4..5
6,Alcove Charting Room,Inpatient Area,16,35,8,0..4..6
7,Team Work station,Clinic Support,2,288,8,7..4..3..5..8..9
8,HUC Station,Clinic Support,1,371,7,2..4..6
9,Off stage Work Area,Clinic Support,2,323,3,9..15..3
10,Crash Cart Alcove,Clinic Support,3,30,4,11..10..14..5
11,Equipment Storage,Clinic Support,2,320,5,4..6..7..9..11..13
12,Clean Utility/ Supplies,Clinic Support,2,200,9,2..3..5..7..8
13,Soiled Utility,Clinic Support,1,300,7,1..3..2..4..5
14,Chute Room,Clinic Support,1,150,2,0..4..6
15,EVS Closet,Clinic Support,1,80,7,7..4..3..5..8..9
16,Nourishment Room Patient,Clinic Support,1,120,8,2..4..6
17,Nourishment Room Family,Clinic Support,1,40,5,2..4..6..15
18,Medication Room,Clinic Support,3,150,6,3..2
19,Alcove Portable Med Equip,Clinic Support,2,40,7,12..11.5..6..8
20,Unit Specific Storage Space,Clinic Support,1,300,6,2..3..5..7..8
21,Respiratory Therapy Workroom,Clinic Support,1,120,5,1..3..2..4..5
22,Electrical,Clinic Support,2,240,6,0..4..6
23,Nurse Manager Offic,Shared Staff Support,2,120,7,7..4..3..5..8..9
24,Clinical Team Leader Office,Shared Staff Support,1,120,5,2..4..6
25,Office Case Mgmt,Shared Staff Support,1,120,4,9..15..3
26,Staff Lounge,Shared Staff Support,1,420,7,11..10..14..5
27,Kitchen,Shared Staff Support,1,80,3,4..6..7..9..11..13
28,Conference,Shared Staff Support,1,500,5,0..4..6
29,Staff Respite Room,Shared Staff Support,1,80,3,7..4..3..5..8..9
30,Lockers,Shared Staff Support,100,2.5,2,2..4..6
31,Changing Room,Shared Staff Support,2,55,2,2..4..6..15
32,Staff Toilet,Shared Staff Support,4,55,2,3..2
33,On Call Room,Shared Staff Support,2,80,6,12..11.5..6..8
34,Mailbox,Shared Staff Support,1,20,1,2..3..5..7..8
